rtimestamp,eventKey,lat,lng,localtime,gpsFixed,satellite,gsmRssi,speed,direction,locPrecision,ele,mileage,runtime,baseStation,gpio,adc,wall,powerVoltage,powerQuantity,timestamp,recDate
1538058660017,35,39.91089,116.517046,180927143059,A,11,31,0,225.0,0.8,50,22581,9362,460|0|1151|2D67,0,0000|0000|0000|0930|0000,1,3789,344,1538029859000,"2018-09-27 22:31:00"
1538058719933,35,39.91089,116.517046,180927143159,A,11,31,0,225.0,0.8,50,22581,9422,460|0|1151|2D67,0,0000|0000|0000|0930|0000,1,3789,344,1538029919000,"2018-09-27 22:31:59"
1538058779735,35,39.91089,116.517046,180927143259,A,11,31,0,225.0,0.8,50,22581,9481,460|0|1151|2D67,0,0000|0000|0000|0930|0000,1,3789,344,1538029979000,"2018-09-27 22:32:59"
1538058839634,35,39.91089,116.517046,180927143359,A,11,31,0,225.0,0.8,50,22581,9541,460|0|1151|2D67,0,0000|0000|0000|0930|0000,1,3789,344,1538030039000,"2018-09-27 22:33:59"
1538058900453,35,39.91089,116.517046,180927143458,A,11,31,0,225.0,0.8,50,22581,9600,460|0|1151|2D67,0,0000|0000|0000|092F|0000,1,3788,344,1538030098000,"2018-09-27 22:35:00"
1538058959333,35,39.91089,116.517046,180927143558,A,11,31,0,225.0,0.8,50,22581,9660,460|0|1151|2D67,0,0000|0000|0000|092F|0000,1,3788,344,1538030158000,"2018-09-27 22:35:59"
1538059019274,35,39.91089,116.517046,180927143658,A,11,31,0,225.0,0.8,50,22581,9720,460|0|1151|2D67,0,0000|0000|0000|092E|0000,1,3786,344,1538030218000,"2018-09-27 22:36:59"
1538059079155,35,39.91089,116.517046,180927143758,A,11,31,0,225.0,0.8,50,22581,9780,460|0|1151|2D67,0,0000|0000|0000|092F|0000,1,3788,344,1538030278000,"2018-09-27 22:37:59"
1538059139056,35,39.91089,116.517046,180927143858,A,11,31,0,225.0,0.8,50,22581,9840,460|0|1151|2D67,0,0000|0000|0000|092E|0000,1,3786,344,1538030338000,"2018-09-27 22:38:59"
1538059198938,35,39.91089,116.517046,180927143958,A,11,31,0,225.0,0.8,50,22581,9900,460|0|1151|2D67,0,0000|0000|0000|092E|0000,1,3786,344,1538030398000,"2018-09-27 22:39:58"
1538059258792,35,39.91089,116.517046,180927144058,A,11,31,0,225.0,0.8,50,22581,9960,460|0|1151|2D67,0,0000|0000|0000|092E|0000,1,3786,344,1538030458000,"2018-09-27 22:40:58"
1538059319753,35,39.91089,116.517046,180927144158,A,11,31,0,225.0,0.8,50,22581,10020,460|0|1151|2D67,0,0000|0000|0000|092E|0000,1,3786,344,1538030518000,"2018-09-27 22:41:59"
1538059378577,35,39.91089,116.517046,180927144258,A,11,31,0,225.0,0.8,50,22581,10080,460|0|1151|2D67,0,0000|0000|0000|092E|0000,1,3786,344,1538030578000,"2018-09-27 22:42:58"
1538059438372,35,39.91089,116.517046,180927144357,A,11,31,0,225.0,0.8,50,22581,10139,460|0|1151|2D67,0,0000|0000|0000|092D|0000,1,3785,344,1538030637000,"2018-09-27 22:43:58"
1538059498314,35,39.91089,116.517046,180927144457,A,11,31,0,225.0,0.8,50,22581,10199,460|0|1151|2D67,0,0000|0000|0000|092D|0000,1,3785,344,1538030697000,"2018-09-27 22:44:58"
1538059558132,35,39.91089,116.517046,180927144557,A,11,31,0,225.0,0.8,50,22581,10259,460|0|1151|2D67,0,0000|0000|0000|092D|0000,1,3785,344,1538030757000,"2018-09-27 22:45:58"
1538059618076,35,39.91089,116.517046,180927144657,A,11,31,0,225.0,0.8,50,22581,10319,460|0|1151|2D67,0,0000|0000|0000|092D|0000,1,3785,344,1538030817000,"2018-09-27 22:46:58"
1538059677976,35,39.91089,116.517046,180927144757,A,11,31,0,225.0,0.8,50,22581,10379,460|0|1151|2D67,0,0000|0000|0000|092C|0000,1,3783,343,1538030877000,"2018-09-27 22:47:57"
1538059737835,35,39.91089,116.517046,180927144857,A,11,31,0,225.0,0.8,50,22581,10439,460|0|1151|2D67,0,0000|0000|0000|092C|0000,1,3783,343,1538030937000,"2018-09-27 22:48:57"
1538059797714,35,39.91089,116.517046,180927144957,A,11,31,0,225.0,0.8,50,22581,10499,460|0|1151|2D67,0,0000|0000|0000|092C|0000,1,3783,343,1538030997000,"2018-09-27 22:49:57"
1538059857472,35,39.91089,116.517046,180927145057,A,11,31,0,225.0,0.8,50,22581,10559,460|0|1151|2D67,0,0000|0000|0000|092A|0000,1,3780,343,1538031057000,"2018-09-27 22:50:57"
1538059917416,35,39.91089,116.517046,180927145157,A,11,31,0,225.0,0.8,50,22581,10619,460|0|1151|2D67,0,0000|0000|0000|092C|0000,1,3783,343,1538031117000,"2018-09-27 22:51:57"
1538059977917,35,39.91089,116.517046,180927145256,A,11,31,0,225.0,0.8,50,22581,10678,460|0|1151|2D67,0,0000|0000|0000|092B|0000,1,3781,343,1538031176000,"2018-09-27 22:52:57"
1538060037197,35,39.91089,116.517046,180927145356,A,11,31,0,225.0,0.8,50,22581,10738,460|0|1151|2D67,0,0000|0000|0000|092B|0000,1,3781,343,1538031236000,"2018-09-27 22:53:57"
1538060097035,35,39.91089,116.517046,180927145456,A,11,31,0,225.0,0.8,50,22581,10798,460|0|1151|2D67,0,0000|0000|0000|092B|0000,1,3781,343,1538031296000,"2018-09-27 22:54:57"
1538060156874,35,39.91089,116.517046,180927145556,A,11,31,0,225.0,0.8,50,22581,10858,460|0|1151|2D67,0,0000|0000|0000|092B|0000,1,3781,343,1538031356000,"2018-09-27 22:55:56"
1538060216716,35,39.91089,116.517046,180927145656,A,11,31,0,225.0,0.8,50,22581,10918,460|0|1151|2D67,0,0000|0000|0000|092A|0000,1,3780,343,1538031416000,"2018-09-27 22:56:56"
1538060276599,35,39.91089,116.517046,180927145756,A,11,31,0,225.0,0.8,50,22581,10978,460|0|1151|2D67,0,0000|0000|0000|092B|0000,1,3781,343,1538031476000,"2018-09-27 22:57:56"
1538060336496,35,39.91089,116.517046,180927145856,A,11,31,0,225.0,0.8,50,22581,11038,460|0|1151|2D67,0,0000|0000|0000|092A|0000,1,3780,343,1538031536000,"2018-09-27 22:58:56"
1538060396454,35,39.91089,116.517046,180927145956,A,11,31,0,225.0,0.8,50,22581,11098,460|0|1151|2D67,0,0000|0000|0000|092A|0000,1,3780,343,1538031596000,"2018-09-27 22:59:56"
1538060456211,35,39.91089,116.517046,180927150055,A,11,31,0,225.0,0.8,50,22581,11156,460|0|1151|2D67,0,0000|0000|0000|092A|0000,1,3780,343,1538031655000,"2018-09-27 23:00:56"
1538060516155,35,39.91089,116.517046,180927150155,A,11,31,0,225.0,0.8,50,22581,11216,460|0|1151|2D67,0,0000|0000|0000|092A|0000,1,3780,343,1538031715000,"2018-09-27 23:01:56"
1538060575974,35,39.91089,116.517046,180927150255,A,11,31,0,225.0,0.8,50,22581,11276,460|0|1151|2D67,0,0000|0000|0000|092A|0000,1,3780,343,1538031775000,"2018-09-27 23:02:55"
1538060636839,35,39.91089,116.517046,180927150355,A,11,31,0,225.0,0.8,50,22581,11336,460|0|1151|2D67,0,0000|0000|0000|092A|0000,1,3780,343,1538031835000,"2018-09-27 23:03:56"
1538060695733,35,39.91089,116.517046,180927150455,A,11,31,0,225.0,0.8,50,22581,11396,460|0|1151|2D67,0,0000|0000|0000|092A|0000,1,3780,343,1538031895000,"2018-09-27 23:04:55"
1538060755613,35,39.91089,116.517046,180927150555,A,11,31,0,225.0,0.8,50,22581,11456,460|0|1151|2D67,0,0000|0000|0000|0929|0000,1,3778,343,1538031955000,"2018-09-27 23:05:55"
1538060815494,35,39.91089,116.517046,180927150655,A,11,31,0,225.0,0.8,50,22581,11516,460|0|1151|2D67,0,0000|0000|0000|0929|0000,1,3778,343,1538032015000,"2018-09-27 23:06:55"
1538060875275,35,39.91089,116.517046,180927150754,A,11,31,0,225.0,0.8,50,22581,11570,460|0|1151|2D67,0,0000|0000|0000|0929|0000,1,3778,343,1538032074000,"2018-09-27 23:07:55"
1538060935217,35,39.91089,116.517046,180927150853,A,11,31,0,225.0,0.8,50,22581,11629,460|0|1151|2D67,0,0000|0000|0000|0928|0000,1,3776,343,1538032133000,"2018-09-27 23:08:55"
1538060995014,35,39.91089,116.517046,180927150953,A,11,31,0,225.0,0.8,50,22581,11689,460|0|1151|2D67,0,0000|0000|0000|0928|0000,1,3776,343,1538032193000,"2018-09-27 23:09:55"
1538061054975,35,39.91089,116.517046,180927151053,A,11,31,0,225.0,0.8,50,22581,11749,460|0|1151|2D67,0,0000|0000|0000|0928|0000,1,3776,343,1538032253000,"2018-09-27 23:10:54"
